start,end,VAR00003,location,gender,age,education,statusOfAsylum,illiteracyReason,socialStatus,address,doYouLiveWith,orphan,incomeProvider,HowDoyouSpendFreeTime,typeOfWork,reasonOfWork,numberOfFamilyMembers,workingHoursPerWeek,formOfWork,dailyIncome,howMuchDoYouGiveFamily,version,id,uuid,submissionDate,index,gazaOrWestBank,type
2017-12-09T14:31:37.247+02,2017-12-09T14:35:28.850+02,null,Kufur Ne'mah,Male,10-14,Basic education,Not a refugee,null,Single,Village,With the family,Yes,Father,With peers in the neighborhood,Other,Other,9 or more,null,Daily paid,null,0 – 10%,vUPviiSFzREn4prB5mMYoB,7231942,d0a22989-ee72-4c44-a9f0-6f9893587f06,2017-12-09T14:40:05,11,West Bank,childrenLabor
2017-12-09T11:45:26.446+02,2017-12-09T11:48:22.670+02,null,Araba Village,Male,null,Secondary education,Refugee,Family economic condition,null,City,null,null,Father,With peers in the neighborhood,null,null,9 or more,31 or more,null,null,More than 50 %,vtZeBwBKkszKRou8bXkRgG,7233158,fc34c498-a8bd-42cf-bf60-94371a35ecc2,2017-12-09T15:46:55,12,West Bank,childrenLabor
2017-12-09T13:59:49.308+02,2017-12-09T14:03:20.721+02,null,Araba Village,Male,null,Secondary education,Refugee,Failure in education,null,City,null,null,Father,Other,null,null,6 - 8,31 or more,null,null,More than 50 %,vtZeBwBKkszKRou8bXkRgG,7233170,c2bced32-f423-4f9e-86c4-6e6f659637bc,2017-12-09T15:46:59,13,West Bank,childrenLabor
2017-12-09T14:49:41.587+02,2017-12-09T14:52:13.351+02,null,null,null,15-16,Secondary education,Refugee,Family economic condition,null,City,null,null,Father,Other,null,null,3 - 5,31 or more,null,null,More than 50 %,vtZeBwBKkszKRou8bXkRgG,7233176,22956ae4-6946-4a35-9726-fdcaab79f4b9,2017-12-09T15:47:01,14,null,childrenLabor
2017-12-09T20:13:31.865+02,2017-12-09T20:15:39.946+02,null,Hebron City,Male,17-18,Basic education,Not a refugee,Lack of desire for education,Single,City,With the family,null,Father,With peers in the neighborhood,Assistant to a craftsman,Practicing in a craft,9 or more,null,Daily paid,null,11 – 30%,vUPviiSFzREn4prB5mMYoB,7235519,2e1afa86-5d1b-4359-9d1f-39a6db5edb88,2017-12-09T18:15:48,15,West Bank,childrenLabor
2017-12-10T09:54:56.567+02,2017-12-10T12:29:01.639+02,null,null,null,15-16,Basic education,Refugee,null,null,Village,null,null,Father,Other,null,null,6 - 8,21_30,null,null,0 – 10%,vtZeBwBKkszKRou8bXkRgG,7241062,cfe45ec6-1583-4e11-affe-134ae85d049f,2017-12-10T10:43:40,16,null,childrenLabor
2017-12-10T09:57:55.939+02,2017-12-10T12:29:46.058+02,null,null,null,15-16,Secondary education,Refugee,null,null,Village,null,null,Father,Other,null,null,3 - 5,21_30,null,null,31 – 50%,vtZeBwBKkszKRou8bXkRgG,7241063,e6371240-95ad-4bdb-8f94-b613cc41b459,2017-12-10T10:43:42,17,null,childrenLabor
2017-12-10T10:02:35.041+02,2017-12-10T10:05:51.591+02,null,Araba Village,null,null,Secondary education,Refugee,null,Married,Village,null,null,Father,Coffee shops,null,null,6 - 8,31 or more,null,null,0 – 10%,vtZeBwBKkszKRou8bXkRgG,7241064,8b01a9d1-7fed-4122-85c3-b5a6070e29b9,2017-12-10T10:43:46,18,West Bank,childrenLabor
2017-12-10T10:05:56.876+02,2017-12-10T10:08:27.328+02,null,Araba Village,null,null,Secondary education,Refugee,null,null,Village,null,null,Father,Other,null,null,3 - 5,31 or more,null,null,0 – 10%,vtZeBwBKkszKRou8bXkRgG,7241065,f08717bf-9795-49f0-ba4d-ae6c9db6ba68,2017-12-10T10:43:47,19,West Bank,childrenLabor
2017-12-10T10:09:09.714+02,2017-12-10T12:28:05.673+02,null,Araba Village,null,null,Secondary education,Refugee,null,null,Village,null,null,Father,Other,null,null,3 - 5,10_20,null,null,0 – 10%,vtZeBwBKkszKRou8bXkRgG,7241066,942f4a83-5e09-4a5c-96ab-e2a266f1bec9,2017-12-10T10:43:47,20,West Bank,childrenLabor
2017-12-10T12:36:43.843+02,2017-12-10T12:40:36.836+02,null,null,null,10-14,Illiterate,Refugee,null,null,Village,null,null,Father,Other,null,null,6 - 8,31 or more,null,null,0 – 10%,vtZeBwBKkszKRou8bXkRgG,7241068,98cf5938-4a29-4d6a-81d8-c05e5697df1c,2017-12-10T10:43:48,21,null,childrenLabor
2017-12-09T11:34:41.944+02,2017-12-09T11:40:37.770+02,null,Al Oja,Male,17-18,Secondary education,Not a refugee,null,Single,Refugee camp,With the family,null,Father,Coffee shops,null,Other,6 - 8,null,Daily paid,null,0 – 10%,vUPviiSFzREn4prB5mMYoB,7241085,314d0e96-98e7-4c92-8bb2-a6d268409fcc,2017-12-10T10:46:29,22,West Bank,childrenLabor
2017-12-09T14:38:05.709+02,2017-12-09T14:46:20.002+02,null,Jericho City,Male,10-14,Basic education,Refugee,null,Single,City,With the family,null,Father,With peers in the neighborhood,null,Other,6 - 8,null,Paid per piece,null,11 – 30%,vUPviiSFzREn4prB5mMYoB,7241097,30c53af8-37e1-4066-b624-481b209ffceb,2017-12-10T10:46:37,23,West Bank,childrenLabor
2017-12-09T16:54:25.951+02,2017-12-09T16:59:19.088+02,null,Aqbet Jabr Refugee Camp,Male,17-18,Basic education,Refugee,Expulsion from school due to riots,Single,Refugee camp,With the family,null,Father,With peers in the neighborhood,null,Lack of need for education,6 - 8,null,Monthly paid,null,More than 50 %,vUPviiSFzREn4prB5mMYoB,7241113,b42d8f2a-91a2-4430-9cc4-9a598b333c41,2017-12-10T10:46:44,24,West Bank,childrenLabor
2017-12-10T12:07:10.921+02,2017-12-10T12:10:26.904+02,null,North Asera Village,Male,17-18,Secondary education,Not a refugee,null,Single,Village,With the family,null,Father,With peers in the neighborhood,null,Other,9 or more,null,Daily paid,null,31 – 50%,vUPviiSFzREn4prB5mMYoB,7241728,218733e5-d684-4775-9e89-d3c588fc6e24,2017-12-10T11:38:08,25,West Bank,childrenLabor
2017-12-10T12:13:07.955+02,2017-12-10T12:15:06.199+02,null,North Asera Village,Male,15-16,Secondary education,Not a refugee,null,Single,Village,With the family,null,Mother,With peers in the neighborhood,null,Other,6 - 8,null,Monthly paid,null,11 – 30%,vUPviiSFzREn4prB5mMYoB,7241729,5b8abd12-fedb-48d2-83ca-9ec308b2c085,2017-12-10T11:38:08,26,West Bank,childrenLabor
2017-12-10T14:39:01.963+02,2017-12-10T14:41:11.960+02,null,Jabalya,Male,10-14,Basic education,Refugee,null,Single,Refugee camp,With the family,null,Father,With peers in the neighborhood,null,Lack of need for education,6 - 8,null,Daily paid,null,0 – 10%,vUPviiSFzREn4prB5mMYoB,7242650,c9c90764-73ae-490b-9137-e6444565de2f,2017-12-10T12:43:13,27,Gaza,childrenLabor
2017-12-10T14:41:32.725+02,2017-12-10T14:43:00.448+02,null,Jabalya,Male,15-16,Basic education,Refugee,Failure in education,Single,Refugee camp,With the family,null,Father,With peers in the neighborhood,null,Practicing in a craft,6 - 8,null,Daily paid,null,0 – 10%,vUPviiSFzREn4prB5mMYoB,7242659,7e3848b1-a62d-47dd-9bd9-aece1fcb3d1b,2017-12-10T12:45:01,28,Gaza,childrenLabor
2017-12-10T13:51:04.642+02,2017-12-10T13:55:32.285+02,null,Gaza City,Male,10-14,Illiterate,Refugee,Family economic condition,Single,City,With the family,null,Father,Wandering in the streets,null,Other,9 or more,null,Daily paid,null,More than 50 %,vUPviiSFzREn4prB5mMYoB,7243581,8f9eeb5b-499e-4181-b90d-d385b07cb42d,2017-12-10T13:09:46,29,Gaza,childrenLabor
2017-12-10T13:58:19.441+02,2017-12-10T14:01:12.645+02,null,Gaza City,Male,10-14,Basic education,Refugee,Failure in education,Single,City,With the family,null,Father,Wandering in the streets,null,Practicing in a craft,9 or more,null,Paid per piece,null,More than 50 %,vUPviiSFzREn4prB5mMYoB,7243582,79eb9a3c-9c35-483c-9067-45c840c6b513,2017-12-10T13:09:47,30,Gaza,childrenLabor
2017-12-10T14:03:08.293+02,2017-12-10T14:05:52.862+02,null,Gaza City,Male,17-18,Basic education,Refugee,Family economic condition,Single,City,With the family,null,Father,Wandering in the streets,null,Other,6 - 8,null,Daily paid,null,31 – 50%,vUPviiSFzREn4prB5mMYoB,7243584,080862b2-96a8-4f45-aea0-e5a4f1299a3f,2017-12-10T13:09:47,31,Gaza,childrenLabor
2017-12-10T13:50:53.796+02,2017-12-10T13:54:48.257+02,null,Gaza City,Male,10-14,Basic education,Refugee,Lack of desire for education,Single,Village,With the family,null,Father,Wandering in the streets,null,Lack of need for education,9 or more,null,Paid per piece,null,0 – 10%,vUPviiSFzREn4prB5mMYoB,7243744,07087bdb-0eb9-41a3-8117-8359f3fa7c18,2017-12-10T13:28:54,32,Gaza,childrenLabor
2017-12-10T13:55:15.204+02,2017-12-10T13:57:43.794+02,null,Gaza City,Male,17-18,Other,Not a refugee,Failure in education,Single,City,With the family,null,Father,Wandering in the streets,null,Lack of need for education,9 or more,null,Daily paid,null,0 – 10%,vUPviiSFzREn4prB5mMYoB,7243745,bd660428-ea16-4a99-9acd-3adb0e6599ac,2017-12-10T13:28:54,33,Gaza,childrenLabor
2017-12-10T13:59:30.841+02,2017-12-10T14:03:49.708+02,null,Gaza City,Male,10-14,Basic education,Not a refugee,Family economic condition,Single,Refugee camp,With the family,null,Father,With peers in the neighborhood,null,Lack of need for education,3 - 5,null,Paid per piece,null,31 – 50%,vUPviiSFzREn4prB5mMYoB,7243746,320f2d9c-7864-4be6-8618-bffe596f909f,2017-12-10T13:28:55,34,Gaza,childrenLabor
2017-12-10T14:06:23.566+02,2017-12-10T14:09:21.804+02,null,Gaza City,Male,17-18,Secondary education,Refugee,null,Single,City,With the family,null,Father,Other,null,Practicing in a craft,6 - 8,null,Daily paid,null,11 – 30%,vUPviiSFzREn4prB5mMYoB,7243747,20f4d33e-2c63-4e51-935d-8526d898e8d7,2017-12-10T13:28:55,35,Gaza,childrenLabor
2017-12-10T14:10:55.020+02,2017-12-10T14:14:02.219+02,null,Gaza City,Male,15-16,Basic education,Refugee,Family economic condition,Single,City,With the family,null,Father,With peers in the neighborhood,null,Other,9 or more,null,Paid per piece,null,0 – 10%,vUPviiSFzREn4prB5mMYoB,7243748,a6e63a0e-9653-4202-80f9-43df3cb434c1,2017-12-10T13:28:55,36,Gaza,childrenLabor
2017-12-10T13:50:05.254+02,2017-12-10T13:53:13.832+02,null,Gaza City,Male,10-14,Basic education,Not a refugee,Family economic condition,Single,City,With the family,null,Father,Other,null,Other,9 or more,null,Paid per piece,null,More than 50 %,vUPviiSFzREn4prB5mMYoB,7243853,d39a19fa-a7f0-4626-ad5f-cc472fc46462,2017-12-10T13:38:47,37,Gaza,childrenLabor
2017-12-10T14:30:53.567+02,2017-12-10T14:34:31.755+02,null,Gaza City,Male,10-14,Basic education,Refugee,Family economic condition,Single,City,With the family,null,Father,Wandering in the streets,null,Other,6 - 8,null,Daily paid,null,More than 50 %,vUPviiSFzREn4prB5mMYoB,7243854,53722850-0aea-4d94-a5f2-2e8df59539ff,2017-12-10T13:38:48,38,Gaza,childrenLabor
2017-12-10T14:35:21.948+02,2017-12-10T14:40:54.362+02,null,Gaza City,Male,17-18,Secondary education,Refugee,null,Single,City,With the family,null,Mother,With peers in the neighborhood,null,Lack of need for education,6 - 8,null,Daily paid,null,11 – 30%,vUPviiSFzREn4prB5mMYoB,7243855,127a94e1-9c6f-48c1-b8e9-597755c889ab,2017-12-10T13:38:48,39,Gaza,childrenLabor
2017-12-10T14:46:02.528+02,2017-12-10T14:48:03.307+02,null,Gaza City,Male,10-14,Basic education,Refugee,Family economic condition,Single,City,With the family,null,Father,With peers in the neighborhood,null,Other,3 - 5,null,Daily paid,null,More than 50 %,vUPviiSFzREn4prB5mMYoB,7243856,7b6ac523-eb81-4feb-9f3d-d53e84b411be,2017-12-10T13:38:49,40,Gaza,childrenLabor
2017-12-10T15:53:46.477+02,2017-12-10T15:55:42.234+02,null,Gaza City,Male,15-16,Basic education,Refugee,Family economic condition,Single,City,With the family,null,Father,Wandering in the streets,null,Other,9 or more,null,Daily paid,null,More than 50 %,vUPviiSFzREn4prB5mMYoB,7244177,326be1cb-0131-414d-810b-c8e7dfad547c,2017-12-10T13:55:49,41,Gaza,childrenLabor
2017-12-10T15:55:49.641+02,2017-12-10T15:57:01.509+02,null,Gaza City,Male,15-16,Illiterate,Refugee,Failure in education,Single,City,With the family,null,Father,Wandering in the streets,null,Practicing in a craft,9 or more,null,Daily paid,null,More than 50 %,vUPviiSFzREn4prB5mMYoB,7244182,b11b7fc5-8937-40a7-83f7-6646b273cf27,2017-12-10T13:57:03,42,Gaza,childrenLabor
2017-12-10T16:36:23.669+02,2017-12-10T16:38:33.261+02,null,Gaza City,Female,10-14,Basic education,Refugee,null,Single,City,With the family,null,Father,With peers in the neighborhood,null,Other,6 - 8,null,Daily paid,null,31 – 50%,vUPviiSFzREn4prB5mMYoB,7244656,d7d388fb-95fe-4443-9637-df653cf384b7,2017-12-10T14:38:38,43,Gaza,childrenLabor
2017-12-10T16:38:45.349+02,2017-12-10T16:40:30.471+02,null,Gaza City,Male,15-16,Basic education,Not a refugee,null,Single,City,With the family,null,Father,With peers in the neighborhood,null,Lack of need for education,3 - 5,null,Paid per piece,null,11 – 30%,vUPviiSFzREn4prB5mMYoB,7244668,f9c6d2d2-d3ca-45a1-a025-5da977c7f9d0,2017-12-10T14:40:35,44,Gaza,childrenLabor
2017-12-10T19:15:04.566+02,2017-12-10T19:17:17.541+02,null,Gaza City,Male,17-18,Secondary education,Refugee,null,Single,City,With the family,null,Father,With peers in the neighborhood,null,Practicing in a craft,6 - 8,null,Daily paid,null,31 – 50%,vUPviiSFzREn4prB5mMYoB,7247551,66de888e-fc98-4614-84a2-e42ad2c65954,2017-12-10T17:29:21,45,Gaza,childrenLabor
2017-12-10T19:17:34.371+02,2017-12-10T19:19:04.855+02,null,Gaza City,Male,17-18,Secondary education,Refugee,null,Single,City,With the family,null,Mother,With peers in the neighborhood,null,Practicing in a craft,6 - 8,null,Daily paid,null,11 – 30%,vUPviiSFzREn4prB5mMYoB,7247552,0ecfc231-24c8-4558-aae1-7c2e7fe70407,2017-12-10T17:29:22,46,Gaza,childrenLabor
2017-12-11T01:33:42.345+08,2017-12-11T01:44:38.635+08,null,Ramallah and Bierh City,Male,17-18,Secondary education,Refugee,null,Single,City,With the family,null,Father,Other,null,Other,6 - 8,null,Monthly paid,null,More than 50 %,vUPviiSFzREn4prB5mMYoB,7247673,b3b818dd-8dda-4a63-b230-4953f78e40a4,2017-12-10T17:44:45,47,West Bank,childrenLabor
2017-12-11T01:47:30.736+08,2017-12-11T01:56:32.795+08,null,Ramallah and Bierh City,Male,17-18,Other,Refugee,null,Single,City,With the family,null,Father,Coffee shops,null,Other,6 - 8,null,Monthly paid,null,11 – 30%,vUPviiSFzREn4prB5mMYoB,7247763,bf5128a0-23e4-4543-a8b6-0ead61c9ae25,2017-12-10T17:56:40,48,West Bank,childrenLabor
2017-12-10T21:01:04.015+02,2017-12-10T21:02:41.242+02,null,Jabalya,Female,10-14,Basic education,Not a refugee,Family economic condition,Single,City,With the family,null,Mother,Wandering in the streets,null,Other,6 - 8,null,Daily paid,null,11 – 30%,vUPviiSFzREn4prB5mMYoB,7248149,15662753-956d-414f-989e-870de45d9d16,2017-12-10T19:04:47,49,Gaza,childrenLabor
2017-12-11T09:42:53.285+02,2017-12-11T09:44:25.054+02,null,Gaza City,Female,15-16,Illiterate,Refugee,Family economic condition,Single,City,With the family,null,Mother,With peers in the neighborhood,null,Other,6 - 8,null,Paid per piece,null,More than 50 %,vUPviiSFzREn4prB5mMYoB,7253838,4562c496-9026-480f-89f4-b8a7dc75f504,2017-12-11T07:44:26,50,Gaza,childrenLabor
2017-12-11T09:44:33.513+02,2017-12-11T09:46:47.282+02,null,Gaza City,Male,17-18,Basic education,Refugee,Family economic condition,Single,City,With the family,null,Mother,With peers in the neighborhood,null,Other,6 - 8,null,Paid per piece,null,More than 50 %,vUPviiSFzREn4prB5mMYoB,7253959,154b7dd1-7ee1-4564-97ef-fd89a147cbcf,2017-12-11T07:46:49,51,Gaza,childrenLabor
2017-12-11T09:55:38.987+02,2017-12-11T09:58:44.847+02,null,Gaza City,Male,10-14,Illiterate,Not a refugee,Expulsion from school due to riots,Single,Village,With the family,null,Other,Other,null,Other,9 or more,null,Daily paid,null,More than 50 %,vUPviiSFzREn4prB5mMYoB,7254326,856e2155-4079-4684-acc3-569eb318e0e4,2017-12-11T07:58:46,52,Gaza,childrenLabor
2017-12-11T09:58:50.398+02,2017-12-11T10:00:24.596+02,null,Gaza City,Male,10-14,Illiterate,Not a refugee,Family economic condition,Single,City,With the family,null,Father,Other,null,Other,3 - 5,null,Daily paid,null,More than 50 %,vUPviiSFzREn4prB5mMYoB,7254355,b3ca1131-45a6-4a7a-bb12-cb9435dfa0f2,2017-12-11T08:00:26,53,Gaza,childrenLabor
2017-12-10T12:46:43.483+02,2017-12-10T12:53:22.631+02,null,Dura,Male,10-14,Secondary education,Not a refugee,null,Single,City,With the family,null,Other,Other,null,Other,3 - 5,null,Monthly paid,null,More than 50 %,vUPviiSFzREn4prB5mMYoB,7256696,5efdf15f-8be0-416c-89f7-b8ca309863cb,2017-12-11T09:22:05,54,West Bank,childrenLabor
2017-12-10T17:44:03.536+02,2017-12-10T17:46:37.123+02,null,Dura,Male,15-16,Secondary education,Not a refugee,null,Single,Village,With the family,null,Father,Other,null,Practicing in a craft,9 or more,null,Daily paid,null,0 – 10%,vUPviiSFzREn4prB5mMYoB,7256731,38b44cf8-872c-4485-bf49-74b1f588af21,2017-12-11T09:22:26,55,West Bank,childrenLabor
2017-12-10T17:46:46.900+02,2017-12-10T17:48:48.894+02,null,Dura,Male,17-18,Other,Not a refugee,null,Single,Village,With the family,null,Father,With peers in the neighborhood,null,Lack of need for education,6 - 8,null,Monthly paid,null,0 – 10%,vUPviiSFzREn4prB5mMYoB,7256732,123f1fd5-95dd-4bd3-9012-4b44e63cf6e2,2017-12-11T09:22:27,56,West Bank,childrenLabor
2017-12-11T11:05:39.016+02,2017-12-11T11:08:26.981+02,null,Dura,Male,10-14,Illiterate,Not a refugee,Lack of desire for education,Single,City,With the family,null,Mother,Other,null,Other,3 - 5,null,Monthly paid,null,More than 50 %,vUPviiSFzREn4prB5mMYoB,7256740,4c43f819-e6b1-4318-bd8e-0b6a3116807f,2017-12-11T09:22:31,57,West Bank,childrenLabor
2017-12-11T11:11:25.225+02,2017-12-11T11:13:04.830+02,null,Dura,Male,15-16,Secondary education,Not a refugee,null,Single,Village,With the family,null,Father,Wandering in the streets,null,Practicing in a craft,6 - 8,null,Daily paid,null,11 – 30%,vUPviiSFzREn4prB5mMYoB,7256741,4bd05835-2274-4b8b-8280-47ff2c51b17c,2017-12-11T09:22:31,58,West Bank,childrenLabor
2017-12-11T11:13:19.403+02,2017-12-11T11:14:48.799+02,null,Dura,Male,17-18,Illiterate,Not a refugee,Lack of desire for education,Single,City,With the family,null,Father,Other,null,Other,9 or more,null,Monthly paid,null,0 – 10%,vUPviiSFzREn4prB5mMYoB,7256742,a272cad3-90bc-4ae3-8963-40f049e7708a,2017-12-11T09:22:31,59,West Bank,childrenLabor
2017-12-11T11:14:57.663+02,2017-12-11T11:16:06.133+02,null,Dura,Female,15-16,Secondary education,Not a refugee,null,Single,City,With the family,null,Mother,Other,null,Other,9 or more,null,Paid per piece,null,More than 50 %,vUPviiSFzREn4prB5mMYoB,7256743,e733dc3a-7c23-4a36-ba6a-1a92fb49eaba,2017-12-11T09:22:32,60,West Bank,childrenLabor
2017-12-10T11:16:03.114+02,2017-12-10T11:20:08.552+02,null,Jenin Refugees Camp,Male,10-14,Secondary education,Refugee,null,Single,Refugee camp,With the family,null,Father,With peers in the neighborhood,null,Other,6 - 8,null,Daily paid,null,More than 50 %,vUPviiSFzREn4prB5mMYoB,7257596,68ee5cb6-917e-454f-95b5-c0a1849f849d,2017-12-11T09:58:40,61,West Bank,childrenLabor
2017-12-10T13:11:55.569+02,2017-12-10T13:14:57.166+02,null,Al Fawwar Refugee Camp,Male,10-14,Basic education,Refugee,null,Single,Refugee camp,With the family,null,Father,Wandering in the streets,null,Other,6 - 8,null,Daily paid,null,0 – 10%,vUPviiSFzREn4prB5mMYoB,7258197,64e5ea78-9592-4d70-a558-18f796defd93,2017-12-11T10:21:34,62,West Bank,childrenLabor
2017-12-10T13:15:00.475+02,2017-12-10T13:17:01.385+02,null,Al Fawwar Refugee Camp,Male,15-16,Basic education,Refugee,null,Single,Refugee camp,With the family,null,Father,With peers in the neighborhood,null,Other,6 - 8,null,Daily paid,null,0 – 10%,vUPviiSFzREn4prB5mMYoB,7258198,72c13843-1607-45c6-93cd-6360fdf505fc,2017-12-11T10:21:34,63,West Bank,childrenLabor
2017-12-10T13:17:17.259+02,2017-12-10T13:19:22.096+02,null,Al Fawwar Refugee Camp,Male,17-18,Illiterate,Refugee,Failure in education,Single,Refugee camp,With the family,null,Father,Coffee shops,null,Other,6 - 8,null,Daily paid,null,0 – 10%,vUPviiSFzREn4prB5mMYoB,7258199,89ed70b5-6f66-4f0a-83ef-fa787ad2918c,2017-12-11T10:21:35,64,West Bank,childrenLabor
2017-12-10T14:12:05.097+02,2017-12-10T14:14:19.032+02,null,Al Fawwar Refugee Camp,Male,15-16,Secondary education,Refugee,null,Single,Refugee camp,With the family,null,Father,With peers in the neighborhood,null,Other,9 or more,null,Paid per piece,null,More than 50 %,vUPviiSFzREn4prB5mMYoB,7258214,b3662b45-9b8e-4a35-8387-e4f7956d12ec,2017-12-11T10:21:41,65,West Bank,childrenLabor
2017-12-10T14:14:22.543+02,2017-12-10T14:15:58.442+02,null,Al Fawwar Refugee Camp,Male,17-18,Secondary education,Refugee,null,Single,Refugee camp,With the family,null,Father,With peers in the neighborhood,null,Other,6 - 8,null,Paid per piece,null,More than 50 %,vUPviiSFzREn4prB5mMYoB,7258215,bedd16bf-7fbb-4cc9-8255-9461be6462df,2017-12-11T10:21:42,66,West Bank,childrenLabor
2017-12-10T14:16:53.090+02,2017-12-10T14:19:02.739+02,null,Al Fawwar Refugee Camp,Male,10-14,Basic education,Refugee,null,Single,Refugee camp,With the family,null,Father,Wandering in the streets,null,Other,9 or more,null,Daily paid,null,0 – 10%,vUPviiSFzREn4prB5mMYoB,7258216,dd9dbdc5-06cf-4a5e-866f-e2cc1ae374f9,2017-12-11T10:21:42,67,West Bank,childrenLabor
2017-12-10T14:21:46.588+02,2017-12-10T14:23:50.636+02,null,Al Fawwar Refugee Camp,Male,10-14,Basic education,Refugee,null,Single,Refugee camp,With the family,null,Father,Other,null,Other,6 - 8,null,Daily paid,null,0 – 10%,vUPviiSFzREn4prB5mMYoB,7258217,fef6d109-9f7e-4f50-96ae-31be1ddaa62d,2017-12-11T10:21:43,68,West Bank,childrenLabor
2017-12-11T12:18:04.650+02,2017-12-11T12:20:01.301+02,null,Gaza City,Female,10-14,Basic education,Refugee,null,Single,City,With the family,null,Father,With peers in the neighborhood,null,Other,6 - 8,null,Daily paid,null,11 – 30%,vUPviiSFzREn4prB5mMYoB,7259703,a282a115-6c4c-429c-ab83-834cc309fb09,2017-12-11T11:31:42,69,Gaza,childrenLabor
