start,end,VAR00003,location,age,education,illiterateReason,address,schoolLeakage,workingStatus,socialStatus,ageOfMarriage,reasonOfMarriage,pregnant,disability,typeOfDisability,livingWithFamily,whereDoYouLive,whyLivingOutsideFamily,Version,ID,UUID,SubmissionTime,Index,gazaOrWestBank,type
2017-12-12T16:28:28.191+08,2017-12-12T16:29:00.544+08,null,Al Ram,15 - 16,Basic education,Family force,Village,Yes,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7298370,ddb6efce-d046-4058-95e5-18ebd9d65966,2017-12-12T10:50:24,11,West Bank,adolescentGirls
2017-12-12T16:29:25.982+08,2017-12-12T16:31:09.264+08,null,Al Ram,13 - 14,Basic education,Family force,Village,Yes,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7298372,89babcff-6802-4b8b-bfab-36046889a7a0,2017-12-12T10:50:24,12,West Bank,adolescentGirls
2017-12-12T16:31:17.632+08,2017-12-12T16:32:34.584+08,null,Al Ram,17 - 18,Secondary education,Marriage,Village,No,Student,Married,19 - 21,Your choice,No,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7298373,31d078ad-c1e0-41b9-b3a5-208166b37615,2017-12-12T10:50:25,13,West Bank,adolescentGirls
2017-12-12T16:32:55.202+08,2017-12-12T16:33:56.608+08,null,Al Ram,17 - 18,Secondary education,Family force,Village,Yes,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7298374,8b229b19-07ac-4a14-9884-038c9eccb7d3,2017-12-12T10:50:25,14,West Bank,adolescentGirls
2017-12-12T16:39:06.929+08,2017-12-12T16:39:47.936+08,null,Al Ram,15 - 16,Basic education,Economic conditions,Village,No,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7298375,6cb039d1-da2b-454f-adf7-c6f2214a0862,2017-12-12T10:50:26,15,West Bank,adolescentGirls
2017-12-12T16:40:29.195+08,2017-12-12T16:41:22.342+08,null,Al Ram,15 - 16,Illiterate,Family force,Village,No,Working,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7298376,da209db7-4481-4e81-8e90-ea9b685a1358,2017-12-12T10:50:26,16,West Bank,adolescentGirls
2017-12-12T16:45:05.331+08,2017-12-12T16:46:41.342+08,null,Al Ram,17 - 18,Basic education,Marriage,Village,Yes,Working,Married,22 - 25,Your choice,No,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7298377,dbc02ded-37c7-4d81-8889-b4d7ebe1b5cd,2017-12-12T10:50:27,17,West Bank,adolescentGirls
2017-12-12T16:48:34.644+08,2017-12-12T16:49:47.331+08,null,Al Ram,15 - 16,Basic education,Family force,Village,Yes,Unemployed,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7298378,ac0857cf-5e03-422f-81c8-5bbea3699492,2017-12-12T10:50:29,18,West Bank,adolescentGirls
2017-12-12T16:19:20.886+08,2017-12-12T16:20:57.244+08,null,Al Ram,15 - 16,Basic education,Economic conditions,Village,Yes,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7298359,d6e77fd7-f5bf-4dd4-bdb7-54ee27aa1617,2017-12-12T10:50:15,19,West Bank,adolescentGirls
2017-12-12T16:21:01.086+08,2017-12-12T16:21:48.098+08,null,Al Ram,15 - 16,Basic education,Family force,Village,Yes,Student,Single,More than 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7298360,5a239be5-6458-425a-a207-1fef821dbaea,2017-12-12T10:50:17,20,West Bank,adolescentGirls
2017-12-12T16:21:58.594+08,2017-12-12T16:22:29.359+08,null,Al Ram,15 - 16,Basic education,Marriage,Village,Yes,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7298361,dc31b482-3c7e-415b-b229-e80ef9638124,2017-12-12T10:50:18,21,West Bank,adolescentGirls
2017-12-12T16:22:33.147+08,2017-12-12T16:23:10.086+08,null,Al Ram,15 - 16,Basic education,Economic conditions,Village,Yes,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7298362,61ab8a92-22bb-43e4-bea9-d18cf7998f1e,2017-12-12T10:50:18,22,West Bank,adolescentGirls
2017-12-12T16:23:13.642+08,2017-12-12T16:24:07.833+08,null,Al Ram,15 - 16,Illiterate,Economic conditions,Village,Yes,Unemployed,Married,19 - 21,Your choice,No,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7298363,bc99bc08-43ff-43f5-9f95-3c270cccd2bc,2017-12-12T10:50:19,23,West Bank,adolescentGirls
2017-12-12T16:24:15.824+08,2017-12-12T16:24:45.623+08,null,Al Ram,15 - 16,Basic education,Economic conditions,Village,Yes,Student,Single,More than 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7298364,10e32515-955d-44ba-8722-f8c3a623bd1e,2017-12-12T10:50:19,24,West Bank,adolescentGirls
2017-12-12T16:24:49.730+08,2017-12-12T16:25:19.432+08,null,Al Ram,15 - 16,Basic education,Family force,Village,Yes,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7298365,525fd399-20f3-4e72-8b61-16a1f7e21f6e,2017-12-12T10:50:20,25,West Bank,adolescentGirls
2017-12-12T09:38:40.957+02,2017-12-12T09:39:09.222+02,null,Dura,13 - 14,Secondary education,null,City,No,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7292084,b617f99f-5552-48f2-b4cb-f4593460c50f,2017-12-12T07:39:29,26,West Bank,adolescentGirls
2017-12-11T12:34:05.570+02,2017-12-11T12:34:54.059+02,null,Hebron City,15 - 16,Basic education,null,City,No,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258423,7ebe3df1-0b10-472a-9989-bd4692d2f0f2,2017-12-11T10:34:58,27,West Bank,adolescentGirls
2017-12-11T12:33:18.117+02,2017-12-11T12:34:02.271+02,null,Hebron City,15 - 16,Basic education,null,City,No,Student,Single,More than 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258414,dfd9cde8-3b5b-43b1-a06d-d57c1bfe3f20,2017-12-11T10:34:05,28,West Bank,adolescentGirls
2017-12-11T12:32:23.034+02,2017-12-11T12:33:13.619+02,null,Hebron City,17 - 18,Secondary education,null,City,No,Student,Single,More than 25,null,null,No,null,No,With relatives,Orphan,vBfZBbTvzh8aQdmbds9u87,7258408,54707d40-ba9d-47d4-9d38-89c78b00c803,2017-12-11T10:33:16,29,West Bank,adolescentGirls
2017-12-11T12:31:39.317+02,2017-12-11T12:32:17.132+02,null,Hebron City,15 - 16,Secondary education,null,City,No,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258394,5e0654db-9146-4f05-9b97-38902ffbbe03,2017-12-11T10:32:25,30,West Bank,adolescentGirls
2017-12-11T12:29:31.293+02,2017-12-11T12:30:34.562+02,null,Hebron City,17 - 18,Secondary education,null,City,No,Student,Single,More than 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258381,3363468e-69a5-449f-bb13-2effbecbfae8,2017-12-11T10:30:38,31,West Bank,adolescentGirls
2017-12-11T12:27:00.455+02,2017-12-11T12:27:54.458+02,null,Hebron City,17 - 18,Secondary education,null,City,No,Student,Married,19 - 21,Your choice,No,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258311,e8e4101b-99e2-4c0c-ad67-d442dcfe7040,2017-12-11T10:27:58,32,West Bank,adolescentGirls
2017-12-11T12:23:02.439+02,2017-12-11T12:23:38.394+02,null,Hebron City,15 - 16,Secondary education,null,City,No,Student,Single,More than 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7258255,43ee9081-c19c-431e-be42-6ec29a4b6b0f,2017-12-11T10:23:41,33,West Bank,adolescentGirls
2017-12-07T11:41:21.966+02,2017-12-07T11:42:52.101+02,null,Jalazon Refugee Camp,17 - 18,Secondary education,null,Refugee camp,null,Student,Married,19 - 21,Your choice,No,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7188442,96041346-166f-49f5-a368-9037e8128117,2017-12-07T10:29:44,34,West Bank,adolescentGirls
2017-12-07T12:27:54.479+02,2017-12-07T12:28:58.105+02,null,Jalazon Refugee Camp,15 - 16,Basic education,null,Refugee camp,Yes,Student,Married,19 - 21,Your choice,No,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7188451,e739dfed-4cdd-4c60-83ee-1106b637c779,2017-12-07T10:29:47,35,West Bank,adolescentGirls
2017-12-08T02:17:52.935+08,2017-12-08T02:20:09.129+08,null,Ramallah and Bierh City,15 - 16,Basic education,null,Village,No,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7199261,cef14e3e-9f91-4b70-8ef5-c0771b0f7b6a,2017-12-07T18:20:15,36,West Bank,adolescentGirls
2017-12-06T21:55:19.184+08,2017-12-06T21:58:10.205+08,null,Abu Dees,17 - 18,Secondary education,null,Village,No,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vEkfbM57sXGCysGYrGgt7z,7204380,ed0942c2-ea59-4c7b-a44d-b5b1b3983231,2017-12-08T05:20:04,37,West Bank,adolescentGirls
2017-12-07T19:36:20.427+02,2017-12-07T19:47:13.759+02,null,Refugees Number 1,13 - 14,Basic education,null,Refugee camp,Yes,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7210923,716f4129-d8a8-4f9c-9657-87ed060b608b,2017-12-08T10:28:49,38,West Bank,adolescentGirls
2017-12-07T19:47:46.863+02,2017-12-07T19:49:49.672+02,null,Refugees Number 1,15 - 16,Basic education,null,Refugee camp,No,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7210924,daccbe3c-b0bf-4362-b0f8-f08accd60105,2017-12-08T10:28:50,39,West Bank,adolescentGirls
2017-12-07T19:51:53.441+02,2017-12-07T19:57:59.438+02,null,Refugees Number 1,15 - 16,Basic education,null,Refugee camp,No,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7210925,f5ed2509-e7ba-4465-b5e3-ba8d3536950d,2017-12-08T10:28:50,40,West Bank,adolescentGirls
2017-12-07T19:58:02.983+02,2017-12-07T19:59:09.653+02,null,Refugees Number 1,17 - 18,Basic education,null,Refugee camp,Yes,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7210927,3b122dad-37f8-4232-be36-56c1c20a52ac,2017-12-08T10:28:51,41,West Bank,adolescentGirls
2017-12-07T20:07:47.177+02,2017-12-07T20:09:34.537+02,null,Refugees Number 1,15 - 16,Basic education,null,Refugee camp,Yes,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7210930,a90af4a6-8a6f-42c4-80f6-016e92a2fa87,2017-12-08T10:28:52,42,West Bank,adolescentGirls
2017-12-07T20:17:14.612+02,2017-12-07T20:18:06.705+02,null,Refugees Number 1,13 - 14,Basic education,null,Refugee camp,Yes,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7210933,5a0c8d64-cb3d-4752-82b0-ef5d7ca421be,2017-12-08T10:28:54,43,West Bank,adolescentGirls
2017-12-07T20:18:21.269+02,2017-12-07T20:19:13.843+02,null,Refugees Number 1,17 - 18,Secondary education,Marriage,Refugee camp,Yes,Student,Married,19 - 21,Your choice,No,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7210934,5dc8d68d-aafc-45a5-8476-7f46451a84e3,2017-12-08T10:28:55,44,West Bank,adolescentGirls
2017-12-07T20:20:32.611+02,2017-12-07T20:21:16.233+02,null,Refugees Number 1,17 - 18,Secondary education,null,Refugee camp,No,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7210935,83498ce9-5dd9-453f-bb90-be8d62a6aedc,2017-12-08T10:28:56,45,West Bank,adolescentGirls
2017-12-07T20:27:05.659+02,2017-12-07T20:32:15.621+02,null,Refugees Number 1,17 - 18,Basic education,Economic conditions,Refugee camp,Yes,Working,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7210936,5bcae9e3-7a20-4982-8598-df7ba9f68d00,2017-12-08T10:28:56,46,West Bank,adolescentGirls
2017-12-07T20:32:38.515+02,2017-12-07T20:33:26.528+02,null,Refugees Number 1,15 - 16,Basic education,Marriage,Refugee camp,Yes,Student,Engaged,22 - 25,Force by family,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7210937,1f39657f-1288-4c54-93e4-2784894aa383,2017-12-08T10:28:57,47,West Bank,adolescentGirls
2017-12-07T21:14:30.453+02,2017-12-07T21:17:18.541+02,null,Refugees Number 1,17 - 18,Secondary education,Marriage,Refugee camp,Yes,Unemployed,Engaged,19 - 21,Your choice,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7210938,01418e78-7376-4f50-a742-d36583aded65,2017-12-08T10:28:58,48,West Bank,adolescentGirls
2017-12-07T21:35:26.024+02,2017-12-07T21:38:21.127+02,null,Refugees Number 1,15 - 16,Secondary education,null,Refugee camp,No,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7210939,168d0f01-99a4-4455-8a20-3dbe2d5d4be0,2017-12-08T10:28:58,49,West Bank,adolescentGirls
2017-12-08T12:17:01.492+02,2017-12-08T12:17:57.958+02,null,Refugees Number 1,13 - 14,Basic education,null,Refugee camp,Yes,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7210941,da9364ca-106d-45f3-8b50-d45614b79f0d,2017-12-08T10:28:58,50,West Bank,adolescentGirls
2017-12-08T12:18:00.712+02,2017-12-08T12:18:31.897+02,null,Refugees Number 1,13 - 14,Basic education,null,Refugee camp,No,Student,Single,16 - 18,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7210944,d604db50-2bce-4f28-94de-bfa67be11236,2017-12-08T10:29:00,51,West Bank,adolescentGirls
2017-12-08T12:18:34.828+02,2017-12-08T12:19:21.228+02,null,Refugees Number 1,15 - 16,Basic education,Marriage,Refugee camp,Yes,Unemployed,Engaged,19 - 21,Your choice,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7210945,7c5beba3-f9a8-499f-aab9-b8f4089cfd5e,2017-12-08T10:29:00,52,West Bank,adolescentGirls
2017-12-08T12:19:24.557+02,2017-12-08T12:19:55.873+02,null,Refugees Number 1,15 - 16,Basic education,null,Refugee camp,No,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7210946,35987db4-f88c-4b93-99f6-3c3c3d88bdd1,2017-12-08T10:29:01,53,West Bank,adolescentGirls
2017-12-08T12:19:58.400+02,2017-12-08T12:20:39.530+02,null,Refugees Number 1,17 - 18,Secondary education,null,Refugee camp,No,Student,Married,19 - 21,Your choice,No,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7210947,47b3a2d9-0094-46be-8d35-e6d02e04802e,2017-12-08T10:29:01,54,West Bank,adolescentGirls
2017-12-08T12:20:42.977+02,2017-12-08T12:21:12.156+02,null,Refugees Number 1,15 - 16,Basic education,null,Refugee camp,No,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7210948,0a08959a-b2c4-439e-8ae1-b12da85ae89b,2017-12-08T10:29:03,55,West Bank,adolescentGirls
2017-12-08T12:21:27.935+02,2017-12-08T12:21:59.910+02,null,Refugees Number 1,13 - 14,Basic education,null,Refugee camp,No,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7210949,ebb8bbdc-a151-40d0-b737-27260deeced0,2017-12-08T10:29:03,56,West Bank,adolescentGirls
2017-12-08T12:22:19.927+02,2017-12-08T12:22:53.190+02,null,Refugees Number 1,15 - 16,Basic education,null,Refugee camp,Yes,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7210951,c7fc0ca9-bc8c-48c7-987b-542ec8ae4ac5,2017-12-08T10:29:04,57,West Bank,adolescentGirls
2017-12-08T12:22:56.491+02,2017-12-08T12:23:26.280+02,null,Refugees Number 1,15 - 16,Basic education,null,Refugee camp,No,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7210952,e5969d45-9ba3-4c92-91b5-4f3d294f9144,2017-12-08T10:29:05,58,West Bank,adolescentGirls
2017-12-08T12:23:33.620+02,2017-12-08T12:24:09.753+02,null,Refugees Number 1,17 - 18,Basic education,null,Refugee camp,No,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7210953,58f81cfc-6d10-45e7-9799-438db6c28725,2017-12-08T10:29:05,59,West Bank,adolescentGirls
2017-12-08T12:25:06.877+02,2017-12-08T12:25:43.210+02,null,Refugees Number 1,13 - 14,Basic education,null,Refugee camp,No,Student,Single,16 - 18,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7210954,ee5bd771-a125-4438-b209-80f4b49de57b,2017-12-08T10:29:06,60,West Bank,adolescentGirls
2017-12-08T12:25:47.460+02,2017-12-08T12:26:34.492+02,null,Refugees Number 1,15 - 16,Basic education,null,Refugee camp,Yes,Student,Single,19 - 21,null,null,Yes,Mobility impairment,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7210955,142295c0-94e3-414a-8534-c8a2abf202ef,2017-12-08T10:29:06,61,West Bank,adolescentGirls
2017-12-08T12:27:07.911+02,2017-12-08T12:27:49.773+02,null,Refugees Number 1,17 - 18,Basic education,null,Refugee camp,No,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7210957,88cf071f-5755-40f9-96ba-fcb30ffa65e7,2017-12-08T10:29:08,62,West Bank,adolescentGirls
2017-12-09T16:19:48.054+08,2017-12-09T16:39:24.246+08,null,Jenin City,null,null,null,null,null,null,null,null,null,null,null,null,Yes,null,null,vEkfbM57sXGCysGYrGgt7z,7226872,b5eab060-57c4-4948-bb58-c64b1fc9307a,2017-12-09T09:15:47,63,West Bank,adolescentGirls
2017-12-09T17:21:29.747+08,2017-12-09T17:35:19.131+08,null,Jenin City,13 - 14,Other,null,City,No,Student,Married,19 - 21,Your choice,No,No,null,Yes,null,null,vEkfbM57sXGCysGYrGgt7z,7227085,71b74ea2-559b-4bfd-a463-083dc91df5d4,2017-12-09T09:35:26,64,West Bank,adolescentGirls
2017-12-12T10:58:04.069+02,2017-12-12T10:59:31.015+02,null,Noor Shams Refugees Camp,17 - 18,Other,null,Refugee camp,No,Student,Married,19 - 21,Your choice,No,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7294227,2f370e52-a112-467d-aa8b-dd03b91dbd52,2017-12-12T08:59:34,65,West Bank,adolescentGirls
2017-12-12T11:00:53.363+02,2017-12-12T11:01:42.616+02,null,Noor Shams Refugees Camp,15 - 16,Basic education,null,Refugee camp,No,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7294293,54a1a3bf-dea6-4110-bd30-c057ebf98080,2017-12-12T09:01:44,66,West Bank,adolescentGirls
2017-12-12T10:59:35.250+02,2017-12-12T11:00:46.485+02,null,Noor Shams Refugees Camp,17 - 18,Secondary education,null,Refugee camp,No,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7294251,08d8475e-7b54-4c16-8b70-5d7179e1c384,2017-12-12T09:00:49,67,West Bank,adolescentGirls
2017-12-09T14:20:51.577+02,2017-12-09T14:22:35.255+02,null,Kufur Ne'mah,15 - 16,Basic education,null,Village,Yes,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7231803,f71a83ea-5cbe-4745-87f6-318f8ab38094,2017-12-09T14:34:06,68,West Bank,adolescentGirls
2017-12-09T15:35:01.489+02,2017-12-09T15:36:21.719+02,null,Kufur Ne'mah,17 - 18,Other,null,Village,Yes,Unemployed,Single,More than 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7231805,a05e65b8-5668-4fdf-801c-0afa5f91805d,2017-12-09T14:34:09,69,West Bank,adolescentGirls
2017-12-09T15:38:27.777+02,2017-12-09T15:42:29.387+02,null,Kufur Ne'mah,17 - 18,Secondary education,Marriage,Village,Yes,Unemployed,Married,19 - 21,Your choice,No,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7231806,90c6f41f-111c-4946-96a2-b2efdca068b7,2017-12-09T14:34:14,70,West Bank,adolescentGirls
2017-12-09T15:47:05.156+02,2017-12-09T15:47:57.050+02,null,Kufur Ne'mah,13 - 14,Basic education,null,Village,No,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7231807,f717bef2-caf1-4988-ba70-fae1453c7ce1,2017-12-09T14:34:17,71,West Bank,adolescentGirls
2017-12-09T15:50:42.468+02,2017-12-09T15:51:17.996+02,null,Kufur Ne'mah,13 - 14,Basic education,null,Village,Yes,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7231808,067d4201-d060-4cc7-957f-116b72e6d760,2017-12-09T14:34:18,72,West Bank,adolescentGirls
2017-12-09T15:52:22.866+02,2017-12-09T15:53:22.188+02,null,Kufur Ne'mah,17 - 18,Secondary education,Marriage,Village,No,Student,Married,19 - 21,Your choice,No,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7231809,7622b8c3-7b3e-4e73-a841-87679c9c8bf1,2017-12-09T14:34:18,73,West Bank,adolescentGirls
2017-12-09T15:54:43.567+02,2017-12-09T15:55:45.876+02,null,Kufur Ne'mah,15 - 16,Secondary education,null,Village,No,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7231810,2d47b682-7868-4b38-8241-403892ff99dd,2017-12-09T14:34:19,74,West Bank,adolescentGirls
2017-12-09T15:57:12.680+02,2017-12-09T15:58:04.967+02,null,Kufur Ne'mah,17 - 18,Secondary education,null,Village,No,Student,Married,19 - 21,Your choice,No,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7231811,215230d2-8663-4acc-a32e-b70df41bdd68,2017-12-09T14:34:19,75,West Bank,adolescentGirls
2017-12-09T16:02:21.537+02,2017-12-09T16:03:35.081+02,null,Kufur Ne'mah,15 - 16,Basic education,null,Village,No,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7231812,4e25946f-a1f0-4d6f-8cd8-2d89da6683f8,2017-12-09T14:34:20,76,West Bank,adolescentGirls
2017-12-09T14:03:20.588+02,2017-12-09T14:09:18.790+02,null,Kufur Ne'mah,15 - 16,Secondary education,null,Village,No,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7231937,26285c6f-9558-4ea8-91d4-2d3847503977,2017-12-09T14:40:03,77,West Bank,adolescentGirls
2017-12-09T14:17:51.264+02,2017-12-09T14:19:15.997+02,null,Kufur Ne'mah,13 - 14,Basic education,null,Village,No,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7231938,f6bd1186-de06-4dc5-bbdd-0db1a415d17f,2017-12-09T14:40:03,78,West Bank,adolescentGirls
